N_unmapped	3940076	3940076	3940076
N_multimapping	4098908	4098908	4098908
N_noFeature	7131459	39638868	39502300
N_ambiguous	1876524	98977	100594
LOC115497387	0	0	0
LOC100221041	92	954	1079
DCBLD2	5383	3743	3581
CMSS1	2132	1077	1081
FILIP1L	5269	2553	2742
TBC1D23	4246	2077	2169
NIT2	3366	1678	1688
TOMM70	5459	2696	2763
LNP1	0	0	0
TMEM45A	25	16	9
TFG	7496	3718	3778
ABI3BP	161	62	99
IMPG2	103	53	50
SENP7	2436	1202	1255
LOC115495942	0	7	14
LOC100219101	267	164	171
TXNL4B	740	412	419
TRMT10C	2435	1229	1232
PCNP	12391	6268	6123
ZBTB11	2375	1124	1252
RPL24	5585	2692	2893
CEP97	4577	2244	2334
NXPE3	2312	1099	1213
NFKBIZ	338	164	174
ZPLD1	54	40	19
LOC115496929	0	1	4
LOC115496946	0	0	0
TRNAI-AAU	0	0	0
LOC115496954	1	1	0
LOC115496959	1	1	0
LOC115496968	0	0	0
LOC115496986	0	0	0
ALCAM	8411	4148	4263
CBLB	2256	1159	1097
LOC115497062	169	71	98
LOC115497073	17	11	6
LOC115495955	0	0	0
BBX	1803	920	883
CD47	15170	7450	7727
LOC115497436	11	261	304
IFT57	3818	2198	2244
HHLA2	2244	1158	1229
MYH15	60	69	57
CIP2A	774	392	382
SH2D1B	8	7	1
LOC101233451	8	2	6
HJURP	677	371	306
GUCA1C	13	5	8
LOC115497582	7	5	2
C1H3orf85	0	1	0
LOC115497585	0	0	0
NECTIN3	2366	1230	1136
CD96	15	4	11
PLCXD2	3410	1740	1670
PHLDB2	2464	1250	1214
ABHD10	4272	2110	2162
TAGLN3	33354	16620	16735
TMPRSS7	222	117	105
LOC100228717	12	1	11
C1H3orf52	21	11	10
LOC115497973	0	0	0
LOC115497877	7	5	2
LOC100221949	52	27	27
LTN1	3984	1948	2038
RWDD2B	924	463	489
USP16	1065	557	536
CCT8	23488	11883	11605
MAP3K7CL	29	12	17
LOC115498285	10	3	7
BACH1	3679	1777	1902
PAXBP1	4193	2106	2088
IL18BP	127	63	64
RNF121	1928	984	967
LOC115498571	247	150	122
NUMA1	1937	975	965
LAMTOR1	3625	1787	1844
TOMT	0	0	0
ANAPC15	4256	2141	2115
LOC100220024	0	0	0
INPPL1	296	174	183
PHOX2A	0	40	21
CLPB	4049	2054	1996
STARD10	6465	3297	3168
ARAP1	322	172	157
PDE2A	9879	4860	5019
MIR139	0	0	0
LOC115490932	165	385	319
ARRB1	9294	5157	4678
WDR73	2166	1073	1104
LOC115490961	164	74	100
LOC100221052	186	96	90
EMSY	1809	867	942
LOC115491304	436	261	222
THAP12	514	256	305
TRNAP-UGG	0	0	0
TRNAP-AGG	0	0	0
WNT11	1225	666	559
LOC115491422	0	0	0
UVRAG	4096	2025	2071
LOC115491551	3	0	3
DGAT2	4828	2349	2479
MOGAT2	3	2	1
MAP6	39904	19860	20047
LOC100232594	0	0	0
APP	124011	61580	62433
GABPA	2771	1504	1447
ATP5PF	16070	8504	8607
JAM2	6212	3602	3476
MRPL39	3566	1727	1839
MIR155	0	0	0
NCAM2	13408	6535	6873
TMPRSS15	18	7	11
CHODL	5084	2600	2484
LOC115497744	6	0	6
C1H21orf91	1475	694	781
LOC115497746	19	13	6
LOC115492635	419	234	185
CXADR	1609	796	813
LOC115492827	0	0	0
LOC115492865	0	0	0
LOC115492979	483	217	266
MIR125-1	25	12	13
LOC115493031	125	60	65
MIR99-1	1	1	0
LOC115492903	178	81	97
LOC115493069	73	34	39
USP25	3761	1933	1828
NRIP1	3448	1820	1628
LOC115493342	2	1	1
LOC100226157	125	51	74
HSPA13	1567	752	815
LIPI	0	0	0
ROBO2	10187	5050	5137
ROBO1	4619	2308	2311
LOC115493357	2	2	0
LOC115493358	4	4	0
GBE1	2228	1167	1147
LOC115493362	570	338	318
LOC115493364	2	0	2
LOC115493363	0	0	0
LOC115493366	2	2	0
LOC115493369	84	31	53
LOC115493370	0	0	0
CADM2	27243	13409	13834
LOC115493375	11	2	9
LOC115493376	65	32	33
LOC115493382	38	17	21
VGLL3	101	53	48
CHMP2B	14282	7331	6953
POU1F1	200	112	90
HTR1F	1358	669	689
LOC105759805	26	13	16
PDZK1	317	157	186
GPR89B	1801	979	845
GJA8	7	6	1
GJA5	225	106	119
ACP6	1727	896	831
BCL9	4055	2001	2054
POGLUT1	4024	2037	1987
TIMMDC1	6987	3444	3544
CD80	4085	2097	1989
ADPRH	2864	1377	1495
IGSF3	6354	3174	3188
LOC115493446	25	13	12
CD101	21	13	8
PTGFRN	1934	928	1006
CD2	245	112	133
LOC100222365	955	457	498
LOC115497747	0	0	0
ILDR2	4017	2053	1964
MAEL	58	34	25
GPA33	10	6	4
DUSP27	18	7	11
POU2F1	816	402	414
CD247	19	9	10
CREG1	3922	1989	1934
RCSD1	306	153	153
MPZL1	21354	10927	10431
TRNAP-CGG	0	0	0
TRNAP-AGG_1	0	0	0
MPC2	9731	5102	5032
DCAF6	8413	5099	4876
LOC115493512	228	698	693
GABRR3	22	11	11
RIOX2	803	419	384
CRYBG3	360	170	190
ARL6	4022	1958	2064
EPHA6	6101	3068	3221
LOC115493532	7	113	82
LOC115497749	0	0	0
LOC115493533	0	0	0
NSUN3	2265	1163	1102
ARL13B	3099	1471	1635
STX19	303	151	155
PROS1	2551	1181	1374
EPHA3	5026	2441	2585
LOC115493552	0	0	0
C1H3orf38	1530	762	768
ZNF654	1038	526	512
CGGBP1	8913	4336	4584
N6AMT1	1579	783	803
LOC115497755	0	0	0
LOC115493554	37	15	30
ADAMTS5	1323	668	664
ADAMTS1	1649	826	828
GDPD5	51803	26075	25731
LOC115493573	46	63	34
SERPINH1	2472	1252	1271
RPS3	8016	4016	4003
LOC115497774	1	0	1
LOC115497777	0	0	0
FCHSD2	1428	669	770
LOC115493595	5	6	10
P2RY2	432	208	225
P2RY6	574	244	330
ARHGEF17	562	285	277
RELT	3056	2200	2357
FAM168A	11155	6401	6255
LOC115496010	17	13	4
PLEKHB1	3275	1584	1691
RAB6A	44078	20947	23138
LOC115493608	36	28	14
MRPL48	2416	1273	1143
LOC100219445	113	65	48
PAAF1	1669	840	829
DNAJB13	745	363	382
HUNK	3488	1764	1724
SCAF4	255	126	129
SOD1	17519	8565	8954
TIAM1	3440	1683	1757
LOC115497758	0	0	0
LOC100229020	1	1	0
LOC115493639	20	6	14
GRIK1	30141	14728	15413
SLCO2B1	178	98	80
TPBGL	650	315	335
PGM2L1	10025	4972	5054
KCNE3	203	101	102
LIPT2	1010	506	504
POLD3	2547	1235	1315
CHRDL2	420	236	184
RNF169	2382	1152	1231
SPCS2	4447	2201	2246
NEU3	4097	2045	2052
P4HA3	40	18	22
PPME1	28036	14156	13883
C2CD3	1926	957	969
UCP3	37	25	12
LOC115496044	0	0	0
LOC115493668	1	1	1
LOC115493670	11	7	6
LOC115493676	0	0	0
LOC115493677	0	0	0
SYNJ1	14085	7131	7264
LOC115493692	40	162	190
CFAP298	2924	1494	1447
EVA1C	491	256	250
URB1	1320	656	667
LOC115493699	0	0	0
COL8A1	1444	703	744
ST3GAL6	3034	1515	1522
LOC115493712	4	4	0
CPOX	1576	833	743
TRNAD-GUC	1	0	1
TRNAH-GUG	2	2	0
TRNAI-AAU_1	2	2	0
TRNAS-AGA	0	0	0
TRNAL-CAG	3	3	0
TTF2	124	64	60
GPR161	1026	477	549
TIPRL	3156	1636	1520
SFT2D2	1147	570	577
TBX19	1	1	0
LOC100227529	0	0	0
DPT	12	7	5
LOC115493735	42	22	20
LOC115493737	3	0	3
ATP1B1	12355	11243	11307
NME7	1454	5905	5736
