N_unmapped	1302193	1302193	1302193
N_multimapping	1292776	1292776	1292776
N_noFeature	3211778	13415990	13381352
N_ambiguous	612755	30754	31351
LOC115497387	8	2	6
LOC100221041	57	231	246
DCBLD2	970	735	655
CMSS1	619	290	334
FILIP1L	1807	834	978
TBC1D23	1179	546	633
NIT2	2024	993	1031
TOMM70	1543	750	793
LNP1	0	0	0
TMEM45A	144	70	74
TFG	2592	1272	1320
ABI3BP	50	31	19
IMPG2	29	10	19
SENP7	871	433	450
LOC115495942	1	7	6
LOC100219101	128	68	90
TXNL4B	252	171	114
TRMT10C	773	394	383
PCNP	4242	2187	2055
ZBTB11	769	376	393
RPL24	1607	835	773
CEP97	856	447	409
NXPE3	683	335	348
NFKBIZ	124	65	59
ZPLD1	7	1	6
LOC115496929	0	0	0
LOC115496946	1	1	0
TRNAI-AAU	0	0	0
LOC115496954	0	0	0
LOC115496959	0	0	0
LOC115496968	0	0	0
LOC115496986	0	0	0
ALCAM	2664	1299	1365
CBLB	665	353	312
LOC115497062	44	21	23
LOC115497073	3	0	3
LOC115495955	0	0	0
BBX	1376	714	663
CD47	4432	2131	2302
LOC115497436	24	102	113
IFT57	1265	749	752
HHLA2	979	526	536
MYH15	34	22	50
CIP2A	33	17	16
SH2D1B	0	0	0
LOC101233451	3	1	2
HJURP	45	34	11
GUCA1C	0	0	0
LOC115497582	61	35	26
C1H3orf85	0	0	0
LOC115497585	0	0	0
NECTIN3	556	262	294
CD96	0	0	0
PLCXD2	576	312	264
PHLDB2	572	287	285
ABHD10	1100	521	579
TAGLN3	12033	6068	5965
TMPRSS7	127	55	72
LOC100228717	57	30	28
C1H3orf52	14	10	4
LOC115497973	0	0	0
LOC115497877	3	3	0
LOC100221949	15	10	5
LTN1	1141	542	599
RWDD2B	204	90	120
USP16	572	300	278
CCT8	5874	2947	2928
MAP3K7CL	5	2	3
LOC115498285	0	0	0
BACH1	949	525	424
PAXBP1	1369	706	663
IL18BP	18	10	8
RNF121	648	323	327
LOC115498571	51	28	24
NUMA1	828	418	410
LAMTOR1	52	16	36
TOMT	0	0	0
ANAPC15	1005	501	504
LOC100220024	0	0	0
INPPL1	98	67	42
PHOX2A	0	4	7
CLPB	993	485	508
STARD10	1732	837	895
ARAP1	429	207	223
PDE2A	1664	822	842
MIR139	0	0	0
LOC115490932	36	220	214
ARRB1	5754	3201	2952
WDR73	884	396	488
LOC115490961	22	12	10
LOC100221052	40	23	17
EMSY	794	406	389
LOC115491304	195	89	122
THAP12	239	131	124
TRNAP-UGG	0	0	0
TRNAP-AGG	0	0	0
WNT11	698	353	345
LOC115491422	1	0	1
UVRAG	1253	641	612
LOC115491551	12	7	5
DGAT2	2547	1297	1250
MOGAT2	77	39	38
MAP6	8457	4238	4219
LOC100232594	1	0	1
APP	34522	17011	17511
GABPA	1058	574	546
ATP5PF	4192	2454	2154
JAM2	2015	1174	1195
MRPL39	967	464	503
MIR155	0	0	0
NCAM2	3986	2013	1973
TMPRSS15	9	6	3
CHODL	955	476	479
LOC115497744	0	0	0
C1H21orf91	526	269	257
LOC115497746	1	1	0
LOC115492635	90	45	45
CXADR	245	134	111
LOC115492827	0	0	0
LOC115492865	0	0	0
LOC115492979	456	232	224
MIR125-1	20	14	6
LOC115493031	48	20	28
MIR99-1	0	0	0
LOC115492903	144	75	69
LOC115493069	40	15	25
USP25	1364	672	692
NRIP1	1554	765	789
LOC115493342	0	0	0
LOC100226157	43	26	17
HSPA13	494	242	252
LIPI	0	0	0
ROBO2	1916	916	1000
ROBO1	1341	642	699
LOC115493357	3	3	0
LOC115493358	0	0	0
GBE1	748	410	390
LOC115493362	502	279	275
LOC115493364	0	0	0
LOC115493363	0	0	0
LOC115493366	0	0	0
LOC115493369	142	82	60
LOC115493370	0	0	0
CADM2	7493	3559	3934
LOC115493375	1	0	1
LOC115493376	3	3	0
LOC115493382	14	1	13
VGLL3	31	4	27
CHMP2B	4731	2456	2275
POU1F1	84	42	42
HTR1F	500	236	264
LOC105759805	63	33	30
PDZK1	109	56	60
GPR89B	651	328	330
GJA8	4	0	4
GJA5	77	34	43
ACP6	742	400	342
BCL9	981	460	521
POGLUT1	1100	579	521
TIMMDC1	2328	1204	1124
CD80	2515	1228	1287
ADPRH	907	497	413
IGSF3	1007	507	503
LOC115493446	12	6	6
CD101	11	3	8
PTGFRN	431	243	188
CD2	180	100	80
LOC100222365	899	473	426
LOC115497747	0	0	0
ILDR2	770	366	404
MAEL	1	1	0
GPA33	0	0	0
DUSP27	4	2	2
POU2F1	577	300	277
CD247	23	8	15
CREG1	1675	827	848
RCSD1	135	82	53
MPZL1	4878	2407	2472
TRNAP-CGG	0	0	0
TRNAP-AGG_1	0	0	0
MPC2	3173	1535	1764
DCAF6	2307	1395	1422
LOC115493512	49	234	200
